# Total_Iterations; SpaceFilter; TimeFilter; POOL_SIZE; DIM_MULTI_LEVEL
#4.39003e+10;3;3;10;10;
Pattern;Sum_level;Count_level
50591739;845066;100
132086655;41852;10
134203584;39693;10
132641779;174356;40
2064091;36696;10
111560;90097;20
4727840;35466;10
196671;1016918;100
1730560;40275;10
383;1229418;100
1872679;36292;10
3552336;34483;10
7398174;35441;10
119304312;239569;50
67375168;71046;20
133954526;33873;10
127139775;433320;80
2359334;123065;20
4095999;806023;100
118734847;57035;10
126090240;419232;80
119307830;380789;90
19169280;1260026;100
72351232;68433;20
39846400;34573;10
104624368;36094;10
33224058;33691;10
19775455;37204;10
17860812;75106;20
12848128;136577;30
134119872;131007;30
14579704;392739;90
123797503;133382;30
52690855;35080;10
119537671;839721;100
47278290;34890;10
130281790;37392;10
100671232;41266;10
131845991;74785;20
77361208;43809;10
75515977;37334;10
14569191;33596;10
66314720;73182;20
62930191;78519;20
115343323;808296;100
102744636;592733;100
134030482;813855;100
129490919;209198;50
104653191;37815;10
133693023;184919;40
115581376;34797;10
2129985;119767;30
72247091;186645;50
16530967;476057;100
16648191;152686;40
133119999;82246;20
1843136;211747;50
52428855;174324;40
118732728;34244;10
19136219;458112;90
4784128;631956;100
80689049;197447;50
110100480;1395740;100
134054388;34445;10
117289766;39097;10
134020607;767142;100
81751844;331256;80
1836100;38037;10
48086751;80244;20
133144543;298258;60
56881662;40511;10
65138719;42154;10
262196;88904;20
57638719;379642;80
7912832;36508;10
67154008;36185;10
9438212;114410;30
243207;135485;30
48066199;347873;70
786952;725836;100
57521823;175024;40
4720640;979725;100
76549695;128577;30
3696;161437;30
1833981;42192;10
2884080;36607;10
178;569104;90
8126956;34687;10
3538943;39439;10
114969964;35997;10
92061663;33811;10
104657347;268899;60
123414948;41083;10
134213582;35584;10
8398849;35237;10
102789176;98855;20
29360640;105940;30
132643775;35228;10
117698779;182687;40
83656768;391755;90
125828983;86656;20
115289751;121303;30
33652944;455559;80
133382655;168319;40
127376324;34458;10
132092415;154442;40
19928;332963;80
18845132;35595;10
77295611;130660;30
117402980;38913;10
113504472;250235;60
116356671;551119;100
113993146;38628;10
16539648;252712;50
33292299;38376;10
10186744;35510;10
800345;34190;10
26998745;35428;10
242487;404181;90
83849023;173744;40
51610560;38115;10
100265919;126775;30
57622528;485505;100
119393907;38061;10
123734015;49153;10
