Pattern;p
131344;1.46664e-06
19023872;3.50165e-06
33293855;1.47537e-07
55688446;4.43088e-09
50593359;2.37268e-07
50364484;1.07925e-06
33390591;1.33067e-06
19136530;7.07305e-07
16547830;6.64677e-07
67240160;4.07096e-07
133985223;1.34562e-07
96395087;5.92488e-07
308953;1.46583e-07
65926137;2.35314e-07
132903936;1.34651e-06
15497019;8.58614e-07
1188625;3.07662e-08
104800015;4.95441e-07
131288495;1.34063e-09
14913072;8.18918e-08
65615515;4.86261e-09
56734176;1.20361e-07
26950557;4.79444e-09
19396388;3.06594e-07
18810919;1.15885e-09
134114751;2.33937e-06
133973539;1.76281e-07
62239739;3.40383e-08
117436411;6.38456e-07
121630718;1.74418e-07
2404864;3.19955e-07
4223032;6.21687e-07
133958747;3.08957e-07
127889215;1.95845e-07
69214240;1.61693e-07
128977407;9.02764e-08
119796351;2.18726e-07
121404928;7.10827e-07
75759104;2.58169e-05
77576191;5.87489e-07
84054344;1.12317e-06
94297959;1.18475e-07
3379;4.01756e-07
115080806;5.88966e-08
56624667;2.0632e-08
132494180;7.06669e-09
67366398;9.12307e-07
16580604;7.39025e-07
130022335;3.60855e-07
96459769;4.04233e-08
258343;8.09079e-07
67034038;2.70943e-07
9475071;2.63726e-06
124777463;6.12143e-08
117442048;6.24086e-06
57044480;5.06779e-07
117672386;1.67306e-07
49379772;1.48378e-07
31502424;6.09098e-07
16810486;4.79376e-07
29558328;7.15758e-09
58638175;3.85986e-07
57447200;1.06075e-06
62915008;1.60466e-07
134010879;4.42906e-07
57507767;6.21459e-08
76958463;5.22617e-08
31848185;3.34702e-08
19211520;2.77214e-07
117206980;1.44197e-07
52709412;1.64102e-07
67145215;1.18293e-07
81562111;1.93664e-07
131326432;2.82122e-06
69079836;2.27225e-11
115305999;1.40788e-07
65926857;7.45751e-08
35721488;9.38211e-08
16256000;1.19697e-06
51150848;4.79194e-07
16546823;5.39886e-07
67141697;2.23385e-07
117374527;7.39162e-07
96349991;5.45339e-10
1966144;5.10892e-07
9596351;3.6767e-06
2883622;5.74447e-07
2889259;3.49699e-07
66885193;1.09052e-06
81423469;7.5325e-08
8388647;6.7872e-07
1050662;2.01361e-05
126059004;5.62495e-07
19397705;1.84188e-07
9964032;4.51995e-07
134180832;7.77154e-07
524271;3.57674e-07
126819384;8.86176e-09
16544704;1.72077e-07
58309830;2.32678e-08
105329565;1.07932e-08
115081526;3.89804e-07
56988233;5.68266e-06
99546987;3.95053e-07
121609692;6.77357e-08
66977791;0.000250519
134217452;2.26411e-06
1842745;1.89028e-07
16778783;3.59378e-07
75645129;1.2152e-07
86479817;1.21556e-06
33628416;3.24749e-07
10506793;2.23248e-07
134053815;5.5695e-07
63503872;4.15821e-09
67076295;1.61102e-08
133993248;2.56793e-06
126648319;3.04345e-07
132644096;2.40086e-07
77089349;3.88554e-09
33554456;8.14896e-07
133430688;3.1073e-07
11814;2.47175e-07
133009476;2.37472e-07
57594728;2.67443e-08
127925753;1.15816e-07
134156288;1.42822e-06
133960187;4.31068e-07
62971934;1.66101e-08
124237769;3.21727e-07
133103104;6.76629e-07
113442817;2.35564e-07
124030207;4.79444e-09
53588953;1.20588e-07
130504619;4.75581e-08
16518720;3.09855e-06
14700552;1.33426e-07
327263;1.80553e-07
114931423;3.14115e-07
33601;5.27843e-08
134105596;1.28162e-06
18874512;6.87491e-07
124555337;2.09797e-07
26791117;3.62878e-08
8126465;2.92302e-06
125171707;1.86779e-08
120050685;1.80439e-07
21537810;3.5906e-07
37119;3.26281e-06
129465279;5.73969e-08
12844767;5.02848e-08
134118948;2.92281e-06
225241;6.44591e-07
71102727;3.40837e-09
66257280;6.96898e-08
50593792;1.20107e-05
540;7.24778e-07
3936224;1.34517e-07
14843391;1.09863e-07
115078728;3.09684e-07
2048416;2.53106e-07
6664696;2.17908e-08
754112;8.80859e-07
18985689;3.02302e-06
119767487;1.39698e-07
14927823;7.83925e-09
25165760;1.40016e-06
2097668;6.60042e-07
134085887;1.49062e-06
100638687;2.23748e-07
